
[xA, yA, xB, yB]
[346, 43, 490, 331]
[345, 45, 490, 335]
[344, 43, 490, 335]
[345, 42, 491, 334]
[343, 41, 491, 336]
[342, 41, 491, 339]
[345, 43, 492, 337]
[342, 45, 495, 350]
[338, 44, 496, 360]
[335, 49, 496, 370]
[333, 40, 499, 371]
[336, 50, 483, 345]
[339, 48, 488, 345]
[339, 43, 494, 352]
[337, 40, 496, 359]
[339, 48, 487, 343]
[337, 48, 487, 348]
[332, 43, 488, 355]
[330, 43, 494, 370]
[328, 48, 492, 375]
[326, 54, 488, 377]
[324, 50, 489, 380]
[321, 52, 489, 388]
[313, 44, 489, 396]
[313, 48, 483, 387]
[313, 52, 483, 392]
[313, 47, 484, 389]
[315, 53, 485, 392]
[311, 46, 485, 394]
[320, 48, 498, 405]
[313, 48, 499, 420]
[314, 46, 503, 424]
[315, 50, 498, 416]
[314, 50, 495, 412]
[314, 51, 499, 421]
[313, 49, 504, 430]
[311, 46, 505, 434]
[307, 44, 507, 443]
[309, 44, 512, 449]
[306, 46, 508, 449]
[306, 55, 508, 458]
[306, 62, 503, 455]
[306, 55, 508, 458]
[299, 51, 504, 460]
[298, 57, 500, 460]
[298, 50, 497, 449]
[297, 54, 495, 450]
[299, 51, 504, 460]
[299, 51, 504, 460]
[352, 71, 438, 243]
[388, 178, 455, 312]
[388, 178, 455, 312]
[113, 79, 179, 211]
[70, 70, 264, 458]
[76, 60, 273, 454]
[80, 64, 272, 449]
[80, 61, 279, 458]
[83, 51, 283, 451]
[83, 51, 283, 451]
[89, 59, 283, 446]
[96, 53, 290, 441]
[96, 53, 290, 441]
[106, 64, 296, 445]
[105, 63, 298, 450]
[109, 60, 303, 449]
[114, 71, 306, 454]
[129, 60, 316, 434]
[128, 49, 323, 439]
[126, 45, 324, 440]
[129, 49, 321, 433]
[135, 46, 327, 430]
[137, 44, 328, 426]
[140, 46, 330, 426]
[137, 44, 328, 426]
[137, 45, 325, 421]
[138, 43, 326, 419]
[143, 47, 313, 386]
[141, 42, 316, 393]
[142, 44, 314, 388]
[142, 41, 317, 390]
[142, 44, 318, 396]
[143, 45, 320, 399]
[143, 45, 320, 399]
[139, 41, 324, 411]
[146, 41, 328, 404]
[149, 37, 331, 402]
[148, 34, 332, 401]
[151, 36, 333, 400]
[160, 45, 326, 378]
[156, 37, 330, 386]
[161, 39, 332, 380]
[165, 36, 333, 371]
[0, 99, 71, 240]
[167, 40, 329, 364]
[171, 44, 327, 356]
[170, 45, 327, 359]
[171, 43, 329, 358]
[172, 41, 329, 355]
[173, 40, 329, 351]
[176, 41, 328, 344]
[177, 40, 324, 334]
[177, 40, 324, 334]
[180, 40, 325, 330]
[180, 40, 325, 330]
[182, 42, 327, 331]
[183, 41, 330, 335]
[186, 38, 334, 333]
[188, 39, 333, 329]
[187, 36, 335, 332]
[194, 41, 332, 317]
[193, 40, 332, 317]
[193, 40, 332, 317]
[191, 35, 335, 323]
[194, 33, 338, 321]
[194, 33, 338, 321]
[196, 36, 338, 319]
[195, 38, 335, 318]
[198, 36, 335, 309]
[198, 36, 334, 307]
[200, 37, 333, 302]
[201, 37, 334, 302]
[201, 38, 333, 301]
[200, 37, 333, 303]
[200, 37, 334, 305]
[200, 36, 336, 308]
[201, 36, 338, 308]
[204, 37, 338, 305]
[207, 41, 337, 301]
[207, 36, 338, 298]
[212, 34, 344, 297]
[213, 37, 342, 295]
[214, 38, 345, 299]
[214, 37, 344, 297]
[216, 40, 342, 291]
[216, 40, 342, 291]
[216, 40, 342, 291]
[216, 40, 342, 293]
[219, 42, 341, 286]
[220, 42, 341, 284]
[223, 35, 341, 271]
[223, 35, 341, 271]
[223, 35, 341, 271]
[225, 39, 340, 269]
[225, 39, 340, 269]
[226, 39, 341, 269]
[228, 41, 343, 270]
[228, 41, 343, 271]
[229, 43, 344, 273]
[229, 37, 350, 279]
[230, 34, 356, 286]
[234, 37, 356, 281]
[238, 39, 354, 271]
[241, 42, 353, 265]
[243, 42, 352, 260]
[244, 42, 351, 256]
[248, 47, 346, 243]
[249, 50, 347, 245]
[248, 46, 348, 246]
[248, 45, 346, 242]
[249, 42, 348, 240]
[250, 41, 345, 231]
[250, 40, 345, 230]
[248, 41, 346, 237]
[245, 29, 362, 262]
[246, 30, 360, 258]
[247, 33, 359, 257]
[255, 40, 356, 242]
[257, 38, 359, 243]
[265, 44, 359, 232]
[261, 40, 363, 244]
[265, 43, 358, 229]
[266, 45, 358, 229]
[266, 41, 359, 227]
[266, 44, 359, 229]
